Company,Business Category,Main Sport Focus,Year Founded,Financials,Ownership Status,Ownership Details,Parent Company,Headquarters,Main Manufacturing,Environmental & Sustainability Policies,Acquisition History
Ben's Tick and Insect Repellent,"Ben's Tick & Insect Repellent falls under the ""Camping Outdoor"" business category. ([cwrdistribution.com](https://cwrdistribution.com/manufacturer/100648/bens-tick-insect-repellent))",Hiking,1987,Not Available,,"Ben's Tick and Insect Repellent was originally created by Mark Mowatt in Maine and named after his son, Ben. In 1987, it became part of Tender Corporation, now known as Adventure Ready Brands, based in Littleton, New Hampshire. ([bens30.com](https://bens30.com/pages/about-us), [adventurereadybrands.com](https://adventurereadybrands.com/blogs/press-releases/bens-ramps-up-tick-protection-with-bens-tick-repellent-may-19-2020-littleton-nh))",Adventure Ready Brands,"Littleton, New Hampshire",Ben's Tick and Insect Repellent is manufactured by Tender Corporation in New Hampshire. ([bens30.com](https://bens30.com/pages/about-us)),"Ben's Tick and Insect Repellent utilizes Eco-Spray® cans, an environmentally-friendly system that does not use ozone-depleting propellants. ([bens30.com](https://bens30.com/)) Additionally, their water-based formula reduces evaporation, allowing the repellent to stay on the skin longer. ([misspursuit.com](https://misspursuit.com/bens-tick-and-insect-repellents/))","Ben's Tick & Insect Repellent was created by Mark Mowatt in Maine and named after his son, Ben. In 1987, the brand was acquired by Tender Corporation and has been produced in New Hampshire since then. ([bens30.com](https://bens30.com/pages/about-us))"
Big Agnes,"Big Agnes is a leading outdoor equipment brand specializing in tents, sleeping bags, sleeping pads, insulated outerwear, and camp furniture. ([outdoorindustryjobs.com](https://outdoorindustryjobs.com/CompanyProfile/9953))",Camping,2001,Not Available,Privately held,"Big Agnes is a privately held company co-owned by Bill Gamber, Rich Hager, and Len Zanni. ([steamboatpilot.com](https://www.steamboatpilot.com/news/big-agnes-celebrates-20-years-in-steamboat/))",Independent,"Steamboat Springs, Colorado, USA",Asia (multiple factories),"Sustainability-focused (reducing packaging, etc.)","As of July 2023, Big Agnes has not been acquired by another company. In June 2023, the company purchased its headquarters at 840 Yampa Street in Steamboat Springs, Colorado, securing a long-term home for its operations. ([sgbonline.com](https://sgbonline.com/big-agnes-closes-on-purchase-of-steamboat-springs-headquarters/))"
Big Sky International,"Big Sky International specializes in lightweight outdoor gear for activities such as backpacking, camping, hiking, trekking, and travel. ([data.danetsoft.com](https://data.danetsoft.com/bigskyproducts.com))",Hiking,,Not Available,Private,"Big Sky International, Inc. is a corporation specializing in designing and manufacturing lightweight and comfortable outdoor gear. The company is owned by Bob Molen, who is also responsible for much of its design work. ([bigskyinternational.com](https://bigskyinternational.com/en-ca/pages/our-story), [backpackinglight.com](https://backpackinglight.com/forums/topic/63898/))",Independent,"## [Big Sky International](https://www.google.com/maps/search/Big+Sky+International%2C+970+W.+Broadway%2C+Ste.+E289%2C+Jackson%2C+WY+83001)


Jackson, Wyoming",Big Sky International's tents are primarily manufactured using fabrics and poles sourced from South Korea and assembled in Vietnam. Tents made with DCF fabric are produced in the USA. ([big-sky-international.myshopify.com](https://big-sky-international.myshopify.com/pages/faqs)),"Big Sky International does not publicly disclose specific environmental and sustainability policies related to hiking. However, the Big Sky community promotes responsible outdoor recreation through initiatives like the ""Leave No Trace"" principles, encouraging hikers to minimize their environmental impact. ([visitbigsky.com](https://www.visitbigsky.com/articles/post/protect-big-sky-follow-the-7-principles-of-leave-no-trace/))",No information found regarding the acquisition history of Big Sky International in the hiking industry.
Black Coffee Roasting Co.,"Black Coffee Roasting Co. is a 100% organic craft coffee roaster based in Missoula, Montana, offering wholesale and retail sales, as well as a full coffee bar. ([abundantmontana.com](https://abundantmontana.com/amt-lister/black-coffee-roasting-co/)) They provide products suitable for outdoor activities, such as camp and travel kits designed for easy coffee preparation during hiking and camping trips. ([blackcoffeeroastingco.com](https://www.blackcoffeeroastingco.com/camp-travel-kits/))",Hiking,2010,Not Available,,"Black Coffee Roasting Co. is a limited liability company (LLC) based in Missoula, Montana, co-owned by Matt McQuilkin and Jim Chapman. ([sprudge.com](https://sprudge.com/build-outs-summer-black-coffee-roasting-co-56934.html))",Independent,"## [Black Coffee Roasting Co.](https://www.google.com/maps/search/Black+Coffee+Roasting+Co.)


Missoula, Montana","## [Black Coffee Roasting Company](https://www.google.com/maps/search/Black+Coffee+Roasting+Company%2C+525+E+Spruce+St%2C+Missoula%2C+MT+59802)


Black Coffee Roasting Company is located at 525 E. Spruce Street, Missoula, Montana 59802. ([blackcoffeeroastingco.com](https://www.blackcoffeeroastingco.com/1957/))","Black Coffee Roasting Co. is committed to sustainability by exclusively sourcing 100% organic coffee, utilizing energy-efficient Loring roasters, and packaging their products in recycled and biodegradable materials. ([blackcoffeeroastingco.com](https://www.blackcoffeeroastingco.com/who-we-are-and-what-we-strive-for/))They also support small, farmer-owned farms and maintain direct relationships with growers to ensure ethical practices throughout their supply chain. ([aim2flourish.com](https://aim2flourish.com/innovations/connecting-cofffee-with-community))","Black Coffee Roasting Co., founded in 2010 in Missoula, Montana, has no publicly available records of being involved in any acquisitions. ([freshcup.com](https://freshcup.com/black-coffee-roasting-company/))"
Black Diamond,"Black Diamond Equipment operates in the ""Climbing and Skiing Equipment"" industry. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Black_Diamond_Equipment))",Climbing,1989,Acquired for $90 M in 2010,Public (Clarus Corp),"Black Diamond Equipment is owned by Clarus Corporation, a publicly traded company listed on NASDAQ under the ticker symbol CLAR. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Black_Diamond_Equipment))

## Stock market information for Clarus Corp (CLAR)
- Clarus Corp is a equity in the USA market.
- The price is 3.56 USD currently with a change of 0.02 USD (0.00%) from the previous close.
- The latest open price was 3.56 USD and the intraday volume is 74652.
- The intraday high is 3.6 USD and the intraday low is 3.55 USD.
- The latest trade time is Thursday, July 17, 21:35:00 UTC.",Clarus Corporation,"Salt Lake City, Utah, USA",USA & China (facilities in Utah & Zhuhai)&#8203;:contentReference[oaicite:10]{index=10},Environmental commitment (advocacy and impact reduction)&#8203;:contentReference[oaicite:11]{index=11},Acquired Bibler (1997) & Ascension (1999)&#8203;:contentReference[oaicite:12]{index=12}; acquired by Clarus in 2010&#8203;:contentReference[oaicite:13]{index=13}
Bogler,"BoglerCo specializes in manufacturing ultralight backpacking trowels designed for hikers and backpackers. Their primary product is a 0.48 oz (13.5g) trowel made from high-strength aluminum alloy, featuring a comfortable end cap and serrated edges for efficient digging. ([boglerco.com](https://www.boglerco.com/home))",Hiking,2018,Not Available,Private - Family Owned,"BoglerCo, a company specializing in ultralight backpacking trowels, is owned and operated by its founder, Benjamin Bogler. He manages all aspects of the business, including manufacturing, from his home shop. ([boglerco.com](https://www.boglerco.com/about-boglerco))",Independent,"BoglerCo Gear, founded by Ben Bogler, is based in Arkansas. ([ramujica.wordpress.com](https://ramujica.wordpress.com/2021/11/19/start-up-story-boglerco-gear/))","BoglerCo, founded by Benjamin Bogler, is a U.S.-based cottage company specializing in ultralight backpacking gear, notably the BoglerCo Ultralight Trowel. Each trowel is meticulously handcrafted in Bogler's home workshop, emphasizing quality and sustainability. ([backpackinglight.co.uk](https://backpackinglight.co.uk/collections/boglerco))",,"BoglerCo, founded by Benjamin Bogler, is a small, independent company specializing in lightweight backpacking trowels, with no known acquisition history. ([boglerco.com](https://www.boglerco.com/about-boglerco))"
Bonfus,"Bonfus is an Italian family-run business specializing in ultralight camping gear, including tents and backpacks, designed to enhance outdoor adventures by reducing weight and bulk. ([valleyandpeak.co.uk](https://valleyandpeak.co.uk/collections/bonfus))",Hiking,2017,Not Available,Private - Family Owned,"Bonfus is a small, family-run business founded by Italian siblings Niccolo and Stefania Bonfadini, specializing in ultralight camping gear. ([valleyandpeak.co.uk](https://valleyandpeak.co.uk/collections/bonfus))Niccolo designs and develops the products in Norway, while Stefania manages production and logistics from Mexico. ([garagegrowngear.com](https://www.garagegrowngear.com/blogs/brand-bios/bonfus-ul-gear-tents-packs))",Independent,,Bonfus designs its ultralight hiking gear in Norway and manufactures it in Mexico. ([garagegrowngear.com](https://www.garagegrowngear.com/blogs/brand-bios/bonfus-ul-gear-tents-packs)),"After searching, no specific information was found regarding Bonfus's environmental and sustainability policies in hiking.","As of July 2025, there is no publicly available information regarding any acquisitions involving Bonfus, a company specializing in ultralight hiking gear."
Borvo Broth,"Borvo Broth specializes in producing lightweight, instant bone broth products designed to energize outdoor enthusiasts during activities like hiking. ([whittakermountaineering.com](https://whittakermountaineering.com/products/instant-bone-broth)) Their offerings include all-natural ingredients, high protein content, and fully compostable packaging, catering to the needs of climbers, hikers, hunters, anglers, and other outdoor adventurers. ([faire.com](https://www.faire.com/brand/b_k79bvy5xed))",Hiking,2022,Not Available,Private,"Borvo Broth is owned by Backcountry Broth LLC, a limited liability company based in Nederland, Colorado. ([trademarkelite.com](https://www.trademarkelite.com/trademark/trademark-detail/90792522/BORVO-BROTH))",,"Nederland, Colorado","Borvo Broth is produced by Backcountry Broth LLC, based in Nederland, Colorado. ([trademarkelite.com](https://www.trademarkelite.com/trademark/trademark-detail/90792522/BORVO-BROTH))",,There is no publicly available information regarding any acquisitions involving Borvo Broth.
Bowl & Kettle,"Bowl & Kettle specializes in premium freeze-dried meals designed for outdoor enthusiasts, offering dishes like Chicken Tikka Masala and Mexican Street Corn Grits. ([bowlandkettle.com](https://bowlandkettle.com/?srsltid=AfmBOooRt3Kg4PQUWbKZgIxu-wJjDTov8K-4hYLw5Nzc5p9mtvZ7IXkl&utm_source=openai))",Hiking,,Not Available,Private,"Bowl & Kettle is owned and operated by Sarah and Brett Bowlin, who founded the company after completing the Pacific Crest Trail. ([bowlandkettle.com](https://bowlandkettle.com/pages/about))",Independent,"Austin, Texas","Leading manufacturers of hiking bowls and kettles include MSR (Mountain Safety Research), GSI Outdoors, Snow Peak, Sea to Summit, and Primus. These companies are renowned for producing durable, lightweight, and functional cookware tailored for outdoor enthusiasts.","Bowl & Kettle's packaging features high-end mylar bags with a shelf life of just over a year, indicating a focus on freshness and quality. ([trailcooking.com](https://trailcooking.com/2025/01/06/commercial-meal-review-bowl-kettle/)) However, specific environmental and sustainability policies are not detailed in the available sources.","Bowl & Kettle is a bootstrapped company built from the ground up, with no known acquisition history. ([faire.com](https://www.faire.com/brand/b_gdrfn53shw))"
Brautigam Expedition Works,"Brautigam Expedition Works specializes in crafting ultralight titanium tools and camping gear, including shovels, utensils, and cookware, designed for outdoor enthusiasts. ([garagegrowngear.com](https://www.garagegrowngear.com/blogs/brand-bios/brautigam-expedition-works-handmade-titanium-tools?srsltid=AfmBOopZ7lrtoXzpKQR5QMkXtlXa3nkMDylQAwKK3KuimMQZqSALGh2q&utm_source=openai))",Hiking,2022,Not Available,Private,"Brautigam Expedition Works is owned and operated by Pete Brautigam, who founded the company in June 2022. ([gatdaily.com](https://gatdaily.com/articles/titanium-tools/)) Pete has extensive experience in engineering and building durable industrial tools in the defense, agricultural, and mining industries. ([rutabaga.com](https://www.rutabaga.com/canoecopia/exhibitor.asp?exid=2004450&utm_source=openai))",Independent,"Iron, Minnesota","Brautigam Expedition Works specializes in titanium accessories for hiking, such as long titanium forks and sporks. ([brautigamexpeditionworks.com](https://brautigamexpeditionworks.com/products/long-titanium-fork)) Specific information about their main manufacturing location is not publicly available.",,"Brautigam Expedition Works, established in June 2022, is a solo artisan company specializing in handcrafted titanium outdoor gear. ([globalordnancenews.com](https://globalordnancenews.com/2025/05/21/brautigam-expedition-works-titanium-tools-by-reuben-bolieu/)) As of July 2025, there is no publicly available information regarding any acquisitions involving the company."
Brunton,"Brunton specializes in manufacturing precision navigation instruments, including compasses and surveying tools, catering to outdoor enthusiasts and professionals in mountaineering and related fields. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Brunton%2C_Inc.))",Mountaineering,1894,Not Available,Private - Family Owned,"In November 2021, Lauren and David Heerschap, former science educators and employees of Brunton, acquired the company, making it a woman-owned and geologist-operated small business based in Riverton, Wyoming. ([county10.com](https://county10.com/brunton-sold-to-new-local-owners-keeping-128-year-old-company-in-wyoming/))",Independent,"## [Brunton Headquarters](https://www.google.com/maps/search/Brunton%2C+2255+Brunton+Ct%2C+Riverton%2C+WY+82501)


Riverton, Wyoming","Brunton's main manufacturing facility is located in Riverton, Wyoming, where they produce compasses and transits. ([manufacturing-works.com](https://manufacturing-works.com/blog/2024/03/08/brunton/))",,"In 1972, a group of Wyoming businessmen purchased Brunton from Ainsworth & Sons, relocating it to Riverton, Wyoming. In 1996, Brunton was acquired by Sweden's Silva Production AB, which was later bought by Finland's Fiskars in 2006. Fiskars sold Brunton to Sweden's Fenix Outdoor AB in 2009. In 2021, Brunton was sold to Lauren and David Heerschap, employees and inventors from Wyoming. ([brunton.com](https://www.brunton.com/pages/brunton-history-updated), [sgbonline.com](https://sgbonline.com/fiskars-acquires-the-silva-group-and-brunton/), [sgbonline.com](https://sgbonline.com/fenix-to-acquire-brunton-from-fiskars/), [globenewswire.com](https://www.globenewswire.com/en/news-release/2021/11/11/2332272/0/en/Sale-of-Brunton-operations.html))"
Brynje,"Brynje specializes in manufacturing high-performance outdoor clothing and footwear, including hiking apparel and safety shoes. ([brynje.no](https://www.brynje.no/us/en), [sikafootwear.eu](https://www.sikafootwear.eu/brands/brynje))",Hiking,1887,Not Available,,"Brynje, the Norwegian technical apparel company founded in 1887, has been owned by the same family for five generations. ([garagegrowngear.com](https://www.garagegrowngear.com/en-ax/blogs/brand-bios/brynje-norwegian-high-performance-baselayers-for-cold-climates))",Brynje is owned by Sika Footwear. ([sikafootwear.eu](https://www.sikafootwear.eu/worth-knowing/blog/brynje-is-owned-by-sika-footwear)),"Larvik, Norway","Brynje's hiking garments were previously produced in Larvik, Norway, but are now primarily manufactured in Poland. ([garagegrowngear.com](https://www.garagegrowngear.com/en-ax/blogs/brand-bios/brynje-norwegian-high-performance-baselayers-for-cold-climates))","Brynje of Norway has been Eco-Lighthouse certified since June 2020, reflecting their commitment to environmental responsibility. ([brynje.no](https://www.brynje.no/gb/en/brynje-of-norway-er-miljofyrtarn-sertifisert)) They ensure ethical sourcing by using only RDS-certified down and mulesing-free wool, with their wool yarn holding the Bluesign certification. ([brynje.no](https://www.brynje.no/gb/en/samfunnsansvar))","Brynje, a Norwegian outdoor apparel company, has been family-owned for five generations and has not undergone any acquisitions. ([garagegrowngear.com](https://www.garagegrowngear.com/en-ax/blogs/brand-bios/brynje-norwegian-high-performance-baselayers-for-cold-climates))"
Canyon Crack,"Canyon Crack is a high-calorie trail butter designed for adventurers, offering flavors like Dark Chocolate Oreo and Original Biscoff. ([garagegrowngear.com](https://www.garagegrowngear.com/en-ma/blogs/brand-bios/canyon-crack-buttery-fuel-for-adventurers-who-do-hard-things))",Hiking,2024,Not Available,,Crack Canyon is managed by the Bureau of Land Management (BLM). ([blm.gov](https://www.blm.gov/visit/crack-canyon)),Independent,"Page, Arizona","Canyon Crack is a high-calorie trail butter developed by Tom Richman, an adventurer and chocolate enthusiast, to provide better nourishment during his explorations in Northern Arizona and Southern Utah. Officially launched in early 2024, it is produced in Page, Arizona. ([garagegrowngear.com](https://www.garagegrowngear.com/en-ma/blogs/brand-bios/canyon-crack-buttery-fuel-for-adventurers-who-do-hard-things))","Canyon Crack is a high-calorie energy spread made in Page, Arizona, designed for adventurers. While the company acknowledges challenges in finding sustainable packaging, specific environmental and sustainability policies are not detailed. ([garagegrowngear.com](https://www.garagegrowngear.com/en-ma/blogs/brand-bios/canyon-crack-buttery-fuel-for-adventurers-who-do-hard-things))","Canyon Crack, a high-calorie trail butter for adventurers, was officially launched in early 2024 by Tom Richman, an adventurer and chocolate enthusiast. There is no information available regarding any acquisitions involving Canyon Crack. ([garagegrowngear.com](https://www.garagegrowngear.com/en-ma/blogs/brand-bios/canyon-crack-buttery-fuel-for-adventurers-who-do-hard-things))"
Carlson Roasting Co.,"Carlson Roasting Co. specializes in organic and fair-trade coffee, offering products like the ""Boundary Waters Brew Instant Coffee,"" which is convenient for hikers. ([carlsonroasting.com](https://carlsonroasting.com/?srsltid=AfmBOoq2sJKln_QJ7qqW7lGzvyv6vjeP-58XvlARwvRKjP7cfNPeM0mW&utm_source=openai))",Hiking,2013,Not Available,Private - Family Owned,"Carlson Roasting Co. is owned by Carlson Media Holdings LLC, with Bob Carlson serving as the principal. ([dnb.com](https://www.dnb.com/business-directory/company-profiles.carlson_roasting_co.dcc1eb96f200a7688c1ea1a0e6838da7.html))",Carlson Roasting Co. is owned by Carlson Media Holdings LLC. ([trademarks.justia.com](https://trademarks.justia.com/881/32/carlson-roasting-88132422.html)),"## [Carlson Roasting Co.](https://www.google.com/maps/search/Carlson+Roasting+Co.)


Houston, Minnesota","## [Carlson Roasting Company](https://www.google.com/maps/search/Carlson+Roasting+Company)


Carlson Roasting Company is located at 101 W Cedar St, Houston, MN 55943. ([carlsonroasting.com](https://carlsonroasting.com/contact-us/)) The company focuses on small-batch artisan coffee roasting, emphasizing Fair Trade and sustainable coffees. ([driftlessgrown.com](https://www.driftlessgrown.com/members/carlson-roasting-company))","Carlson Roasting Co. offers organic and Fair Trade certified coffee, ensuring growers are compensated fairly and their coffee is produced without chemicals. ([carlsonroasting.com](https://carlsonroasting.com/?srsltid=AfmBOoq2sJKln_QJ7qqW7lGzvyv6vjeP-58XvlARwvRKjP7cfNPeM0mW&utm_source=openai))",No information is available regarding the acquisition history of Carlson Roasting Co.
Cascadia Coffee Roasters,"Cascadia Coffee Roasters offers ""Instant Adventure"" coffee packs designed for hikers and outdoor enthusiasts, providing a convenient, high-quality coffee experience on the go. ([cascadiaroasters.com](https://cascadiaroasters.com/blogs/news/instant-adventure-camping)) Their products are crafted to be lightweight and easy to prepare, making them ideal for hiking trips. ([cascadiaroasters.com](https://cascadiaroasters.com/collections/cascadia-instant-adventure))",Hiking,2015,Not Available,Private - Family Owned,"Cascadia Coffee Roasters, based in Portland, Oregon, is owned by Jason and Susan Thomas. ([cascadiaroasters.com](https://cascadiaroasters.com/pages/our-story))",Independent,"Portland, Oregon","Cascadia Coffee Roasters' main manufacturing facility is located in Portland, Oregon. ([cascadiaroasters.com](https://cascadiaroasters.com/pages/contact))",Cascadia Coffee Roasters has upgraded their coffee bean packaging to recyclable bags to reduce environmental impact. ([cascadiaroasters.com](https://cascadiaroasters.com/blogs/news/doing-more-with-coffee)) They also collaborate with local compost manufacturers to recycle coffee chaff into nutrient-rich compost. ([cascadecoffee.com](https://www.cascadecoffee.com/sustainable-manufacturing)),"As of July 17, 2025, there is no publicly available information regarding any acquisitions involving Cascadia Coffee Roasters."
Chicken Tramper Gear,"Chicken Tramper Ultralight Gear specializes in designing and manufacturing durable, lightweight backpacking equipment, including backpacks, fanny packs, and various accessories, tailored for hikers and outdoor enthusiasts. ([chickentrampergear.com](https://chickentrampergear.com/))",Hiking,2018,Not Available,Private,Chicken Tramper Ultralight Gear is co-owned by founders Austin Gongos and Nathan Ackerman. ([secondwavemedia.com](https://www.secondwavemedia.com/upword/features/chickentramp.aspx)),Independent,"Hancock, Michigan","Chicken Tramper Ultralight Gear manufactures its hiking gear in Hancock, Michigan, located in the Upper Peninsula. ([chickentrampergear.com](https://chickentrampergear.com/pages/ctug-story))","Chicken Tramper Ultralight Gear focuses on creating durable, lightweight gear to minimize waste and encourages customers to practice ""Leave No Trace"" principles. ([kencooutfitters.com](https://kencooutfitters.com/collections/chicken-tramper-ultralight-gear))","As of July 2025, there is no publicly available information indicating that Chicken Tramper Ultralight Gear has been acquired by or has acquired any other company."
CNOC Outdoors,"CNOC Outdoors specializes in manufacturing hiking gear, including trekking poles and hydration products. ([aoportland.com](https://aoportland.com/industries/camping-hiking/))",Hiking,2016,Not Available,Private,"CNOC Outdoors is owned by Minimal Gear LLC, a company based in Portland, Oregon. The founder and owner of CNOC Outdoors is Gilad Nachmani. ([minimalgear.com](https://minimalgear.com/about-minimal-gear), [cnocoutdoors.com](https://cnocoutdoors.com/pages/our-team))",Minimal Gear,"Portland, Oregon","CNOC Outdoors, based in Portland, Oregon, manufactures carbon fiber trekking poles domestically under the brand Diorite Gear, while other products like the Vecto water containers are produced in China. ([markets.financialcontent.com](https://markets.financialcontent.com/stocks/article/accwirecq-2023-3-9-cnoc-outdoors-rebrands-its-sustainable-and-repairable-us-made-carbon-fiber-products-as-diorite-gear), [trailful.com](https://trailful.com/products/cnoc-outdoors-vecto-2l-water-container))","CNOC Outdoors is committed to environmental sustainability through initiatives such as aiming to reduce emissions by 50% by 2030 and achieving net-zero emissions by 2050, optimizing shipping practices to minimize environmental impact, and donating over 20% of profits to conservation and diversity-focused charities. ([minimalgear.com](https://minimalgear.com/sustainability)) Additionally, they have adopted a section of the Pacific Crest Trail for personal maintenance and have achieved B Corp™ certification, reflecting their dedication to social and environmental performance.","As of July 2025, there is no publicly available information regarding any acquisitions involving CNOC Outdoors."
COBA,COBA is a Colorado-based alliance of outdoor businesses focused on conservation efforts. ([conservationco.org](https://conservationco.org/colorado-outdoor-business-alliance/)),Hiking,,Not Available,Private - Venture Backed,"COBA, the Colorado Outdoor Business Alliance, is a coalition of outdoor industry businesses in Colorado. It is a program of Conservation Colorado, a nonprofit organization dedicated to environmental conservation. ([conservationco.org](https://conservationco.org/colorado-outdoor-business-alliance/))",Independent,,"COBA specializes in coffee and tea-based chocolate bars, offering products like the Espresso Chocolate Bar and Chocolate Tea Bar, which are suitable for hiking and outdoor activities. ([rei.com](https://www.rei.com/b/coba/c/all)) However, specific information about their main manufacturing location is not readily available.","COBA Ltd demonstrates its commitment to environmental sustainability by producing products using recycled materials and eco-friendly processes, ensuring minimal ecological impact without compromising quality or performance. ([coba.com](https://www.coba.com/pc/sustainability-range)) Additionally, the company has implemented measures such as carbon-offsetting gas usage, installing solar panels to reduce dependence on the grid, and utilizing 100% recyclable packaging materials. ([coba.com](https://www.coba.com/matting-and-the-environment))","Compass Diversified acquired BOA Technology, creators of the BOA Fit System used in hiking footwear, for $454 million in October 2020. ([globenewswire.com](https://www.globenewswire.com/news-release/2020/10/19/2110413/0/en/Compass-Diversified-Completes-Acquisition-of-Performance-Fit-Innovator-BOA-Technology.html))"
Cold Case Gear,Cold Case Gear specializes in manufacturing rugged aerogel accessories designed to protect food and electronics during backcountry activities. ([goscape.org](https://www.goscape.org/blog/q-a-with-cold-case-gear)),Hiking,2018,Not Available,,"Cold Case Gear, founded in 2018 by Jon Rosenberg, was a privately held company based in Pagosa Springs, Colorado. The company ceased operations in August 2024. ([pitchbook.com](https://pitchbook.com/profiles/company/463913-65))",Independent,"## [Cold Case Gear](https://www.google.com/maps/search/120+Navajo+Place%2C+Pagosa+Springs%2C+CO+81147)


Pagosa Springs, Colorado","Cold Case Gear, founded in 2018 by Jon Rosenberg in Pagosa Springs, Colorado, manufactures insulated pouches and phone cases designed to protect electronics and food from extreme temperatures using aerogel insulation. ([companyweek.sustainment.com](https://companyweek.sustainment.com/article/cold-case-gear/)) Their products are made in the USA, with manufacturing partners in Michigan. ([businessden.com](https://businessden.com/2019/08/05/outdoors-startup-tests-market-for-insulated-pouch-space-age-materials/))","Cold Case Gear's environmental and sustainability policies include manufacturing products in the USA, sourcing materials domestically when possible, using minimal and eco-friendly packaging, and donating a percentage of sales to Protect Our Winters. They aim to create a small environmental footprint while making a positive impact. ([deirdredenaliphotography.com](https://www.deirdredenaliphotography.com/blog/2021/11/6/cold-case-gear-a-different-part-of-my-life))","Cold Case Gear, founded in 2018, ceased operations in August 2024. ([pitchbook.com](https://pitchbook.com/profiles/company/463913-65)) There is no record of the company being acquired prior to its closure."
COROS,"COROS is a performance sports technology company specializing in GPS sports watches designed for endurance athletes, including mountaineers. Their products feature activity modes like ""Mountain Climb,"" tailored for technical or multi-day mountaineering, offering functionalities such as 3D distance measurement and navigation support. ([support.coros.com](https://support.coros.com/hc/en-us/articles/10517791736340-Activities))",Mountaineering,2014,Not Available,Private,"COROS is fully owned by Guangdong COROS Sports Technology Company, a Chinese corporation. ([believeintherun.com](https://believeintherun.com/gps-run-tracking-privacy-policies/))","Dongguan Yuanfeng Technology Co., Ltd (YF Tech)","## [COROS Wearables Inc.](https://www.google.com/maps/search/41+Corporate+Park+Suite+205%2C+Irvine%2C+CA+92606)


Irvine, California","COROS Wearables Inc. designs and manufactures its products in Dongguan, Guangdong Province, China. ([en.wikipedia.org](https://en.wikipedia.org/wiki/COROS_Wearables_Inc))","COROS has a sustainability webpage outlining a 20-day period during which 10% of proceeds are donated to organizations benefiting the planet, such as Protect Our Winters and the Eliud Kipchoge Foundation. They also emphasize building durable products and encourage recycling their watches at the end of their lifecycle, though they do not provide a recycling service. ([gaiactive.com](https://www.gaiactive.com/blog/eco-friendly-running-watches))","COROS has not acquired any companies in the mountaineering sector. Instead, they have expanded their presence by partnering with prominent athletes like Kilian Jornet and Emelie Forsberg, and by developing specialized products such as the VERTIX GPS Adventure Watch and the APEX Pro, tailored for mountaineering activities. ([coroscom.wpcomstaging.com](https://coroscom.wpcomstaging.com/mountain-athlete/), [prnewswire.com](https://www.prnewswire.com/news-releases/coros-launches-the-most-powerful-gps-watch-ever-built-300849670.html))"
CuloClean,"CuloClean specializes in portable bidets designed for hikers and campers, offering lightweight and eco-friendly hygiene solutions compatible with standard plastic bottles. ([culoclean.com](https://culoclean.com/))",Hiking,2018,Not Available,Private,"CuloClean is owned by engineers Ana Vicaria Mancebo and Guillermo Maroto Hebrero from Madrid, Spain. ([culoclean.com](https://culoclean.com/press-kit-2/))",Independent,"Madrid, Spain",CuloClean's main manufacturing location is in Spain. ([flowforesttherapy.com](https://flowforesttherapy.com/culoclean)),"CuloClean promotes its portable bidet as an ecological alternative to toilet paper and wet wipes, emphasizing its durability and environmental benefits. ([culoclean.com](https://culoclean.com/)) However, no specific environmental or sustainability policies are detailed on their website.","CuloClean, founded by Ana and Guillermo in Madrid, Spain, offers a portable bidet compatible with most plastic bottles, designed for discreet and efficient intimate hygiene. ([culoclean.com](https://culoclean.com/press-kit-2/)) As of now, there is no publicly available information regarding any acquisitions involving CuloClean."
Cusa Tea & Coffee,"Cusa Tea & Coffee offers premium instant tea and coffee products that are convenient for outdoor activities like hiking. Their single-serving packets are lightweight, dissolve quickly in hot or cold water, and are ideal for on-the-go use. ([backcountry.com](https://www.backcountry.com/cusa-tea-premium-instant-tea-10-pack))",Hiking,2016,Not Available,Subsidiary,"Cusa Tea & Coffee, founded by Jim Lamancusa in 2016, was acquired by Wild Zora Foods, LLC, a limited liability company based in Loveland, Colorado. ([pitchbook.com](https://pitchbook.com/profiles/company/267474-34), [trademarkelite.com](https://www.trademarkelite.com/trademark/trademark-detail/90645641/CUSA-TEA-COFFEE))",Wild Zora,"## [Cusa Tea & Coffee](https://www.google.com/maps/search/Cusa+Tea+%26+Coffee+Boulder%2C+Colorado)


Boulder, Colorado","Cusa Tea & Coffee's teas are grown, processed, and packaged in Southeast China. ([usmanufacturingreport.com](https://usmanufacturingreport.com/article/cusa-tea/))","Cusa Tea & Coffee emphasizes environmental responsibility by composting used tea and coffee grounds on organic farms, reducing landfill waste. They also offer a recycling program for their product packets, repurposing them into materials like playground equipment through TerraCycle. ([drinkcusa.com](https://www.drinkcusa.com/pages/environmental-responsibility))","Cusa Tea & Coffee was acquired by Wild Zora, a company specializing in healthy snacks. ([pitchbook.com](https://pitchbook.com/profiles/company/267474-34))"
